date,child_id,condition,group_id,average_grade,specialization,teacher,C11,C21,C31,C41,Test1,C12,C22,C32,C42,Test2,C13,C23,C33,C43,Test3
01/05/17,C01,WO_AR,1,4.6,1,FM,1,0,0,0,1,1,0.5,0.6666666667,0.25,4,1,1,1,0.5,7
01/05/17,C02,WO_AR,1,4.8,0,FM,0,0,0,0,0,1,0.5,0.3333333333,0.5,4,1,1,1,1,10
01/05/17,C03,WO_AR,2,4.5,0,FM,0,0,0,0,0,0,0,0.3333333333,0.25,1,0.5,1,0,0.3333333333,4
01/05/17,C04,WO_AR,2,4.7,0,FM,0,0,0,1,1,0,0,0,0.75,3,0.5,0,0,0.1666666667,2
01/05/17,C05,WO_AR,3,4.5,1,FM,0,0,0,0,0,0,0.5,0,0.75,4,0.5,1,0,1,8
01/05/17,C06,WO_AR,4,4.3,1,FM,0,0,0,1,1,1,0.5,0.6666666667,0.5,5,1,1,1,0.6666666667,8
01/05/17,C07,WO_AR,4,4.6,0,FM,0,0,0,0,0,0.25,0.5,0,0.5,3,1,1,0.5,0.8333333333,8
01/05/17,C08,AR,5,5,1,OR,0,0,0,0,0,0.75,0.5,0,0.75,4,1,0,0.5,0.1666666667,3
01/05/17,C09,AR,5,4.2,0,OR,0,1,0,0,1,0.75,1,0,0.75,5,0.75,1,0.5,0.6666666667,7
01/05/17,C10,AR,6,5.1,0,OR,0,0,1,0,1,1,1,0.3333333333,0.5,5,1,1,1,1,10
01/05/17,C11,AR,6,4.8,0,OR,0,0,1,0,1,1,0.5,0.3333333333,0.75,5,0.75,1,0.5,0.6666666667,7
01/05/17,C12,AR,7,4.9,1,OR,0,0,0,0,0,0.75,0.5,0,0.75,4,1,1,1,0.3333333333,6
01/05/17,C13,AR,7,4.2,0,OR,0,0,0,1,1,0.75,0.5,0,0.75,4,1,1,1,0.6666666667,8
01/05/17,C14,AR,8,4.8,0,OR,0,0,0,0,0,0.75,0.5,0,0,1,0.25,1,0,0.3333333333,3
01/05/17,C15,AR,8,4.8,0,OR,0,0,0,0,0,0,0,0,0.75,3,0.75,0,0,0.6666666667,5
08/05/17,C16,WO_AR,9,4.3,0,OR,0,1,0,0,1,0.25,1,0,0.5,4,0.5,0,0,0.1666666667,2
08/05/17,C17,WO_AR,9,5.3,1,OR,0,1,0,0,1,0.75,0.5,0,0.5,5,0.75,1,0,0.8333333333,7
08/05/17,C18,WO_AR,10,3.8,0,OR,0,1,0,0,1,0.75,0.5,0,0.75,4,1,1,0.5,1,9
08/05/17,C19,WO_AR,10,4.6,1,OR,0,1,0,0,1,0.75,0.5,0,0.75,4,1,1,0.5,0.6666666667,7
08/05/17,C20,WO_AR,11,4.1,0,OR,0,0,0,0,0,0.5,1,0,0.75,5,1,1,1,0.8333333333,9
08/05/17,C21,WO_AR,11,4.8,0,OR,0,0,0,0,0,1,0.5,0.3333333333,0.5,4,0.5,1,0.5,0.3333333333,4
08/05/17,C22,WO_AR,12,4.1,0,OR,0,0,0,1,1,0.5,0.5,0.3333333333,0.25,2,0.75,1,0,0.8333333333,7
08/05/17,C23,WO_AR,12,3.9,0,OR,0,1,1,0,2,0.5,0.5,0.3333333333,0.25,2,0.75,1,0,0.3333333333,4
08/05/17,C24,AR,13,4.3,0,FM,1,0,0,0,1,1,0.5,0.6666666667,0,3,1,1,1,0.8333333333,9
08/05/17,C25,AR,13,5.2,1,FM,1,0,0,0,1,1,0.5,0.3333333333,0.5,4,1,1,1,0.8333333333,9
08/05/17,C26,AR,14,3.9,0,FM,1,0,0,0,1,0.75,0.5,0,0.5,3,1,1,1,0.8333333333,9
08/05/17,C27,AR,14,5,0,FM,0,0,0,0,0,0.25,0.5,0,0.25,2,1,1,0.5,0.6666666667,7
08/05/17,C28,AR,15,4.1,0,FM,0,0,0,0,0,0,0.5,0,0.5,3,1,1,0,0.6666666667,6
08/05/17,C29,AR,15,4.1,0,FM,1,0,0,0,1,1,0,0.3333333333,0.5,3,1,1,0,0.6666666667,6
